field,label,type,required,description
suffix,Series Name,string,true,Series identifier
last,Last Index,int,false,Last used index
adverbs,Adverbs,string[],false,List of adverbs
adjectives,Adjectives,string[],false,List of adjectives
nouns,Nouns,string[],false,List of nouns
emotions,Emotions,string[],false,List of emotions
artstyles,Art Styles,string[],false,List of art styles
colors,Colors,string[],false,List of colors
orientations,Orientations,string[],false,List of orientations
gazes,Gazes,string[],false,List of gazes
backstyles,Back Styles,string[],false,List of back styles
modifiedAt,Modified At,datetime,false,Last modified timestamp
