name             ,type      ,strDefault ,attributes ,upgrades ,docOrder ,description
blockNumber      ,blknum    ,           ,           ,         ,       1 ,the block number
transactionIndex ,txnum     ,           ,           ,         ,       2 ,the transaction index
date             ,datetime  ,           ,           ,         ,       3 ,the timestamp as a date
from             ,address   ,           ,           ,         ,       4 ,the from address
fromName         ,string    ,           ,           ,         ,       5 ,the from name
to               ,address   ,           ,           ,         ,       6 ,the to address
toName           ,string    ,           ,           ,         ,       7 ,the to name
wei              ,wei       ,           ,           ,         ,       8 ,the value in wei
ether            ,string    ,           ,           ,         ,       9 ,the value in ether
function         ,string    ,           ,           ,         ,      10 ,the function
hasToken         ,bool      ,           ,           ,         ,      11 ,true if the transaction has a token
isError          ,bool      ,           ,           ,         ,      12 ,true if the transaction has an error
logCount         ,uint64    ,           ,           ,         ,      13 ,the number of logs
